"Date","Post Type","Content","Video Thumbnail","Image","Like","Retweet","Reply"
"2026-05-24T16:22:45.000Z","text","iirc Geoff Hinton’s official title at Google at one point was “intern” :D","","","1.7K","62","32"
"2026-05-24T15:49:28.000Z","text","It’s refreshing to see a company of this size successfully call bs on the whole thing to this extent. One group of MTS on a mission, clean.","","","7.9K","162","123"
"2026-05-19T15:05:42.000Z","text","Personal update: I've joined Anthropic. I think the next few years at the frontier of LLMs will be especially formative. I am very excited to join the team here and get back to R&D. I remain deeply passionate about education and plan to resume my work on it in time.","","","149K","18K","7.9K"
"2026-05-18T03:24:47.000Z","text","I was recording my nanochat video when I realized that “first boot up an 8XH100 from your favorite provider!” would instantly get everyone stuck on step 1 of the video","","","1.9K","45","66"
"2026-04-09T20:10:52.000Z","text","Judging by my tl there is a growing gap in understanding of AI capability.

The first issue I think is around recency and tier of use. I think a lot of people tried the free tier of ChatGPT somewhere  last year and allowed it to inform their views on AI a little too much. This isThe degree to which you are awed by AI is perfectly correlated with how much you use AI to code.","","","20K","3.1K","1.1K"
"2026-04-09T17:38:57.000Z","text","In my experience there are approx. one thousand different pdf converters that are all equally terrible for anything except the simplest documents. Post the converted Mythos pdf, figures, tables and all. If good, happy to retweet as this is essential and missing infrastructure.","","","151","5","30"
"2026-04-09T20:38:48.000Z","text","Someone recently suggested to me that the reason OpenClaw moment was so big is because it's the first time a large group of non-technical people (who otherwise only knew AI as synonymous with ChatGPT as a website) experienced the latest agentic models.","","","4K","229","274"
"2026-04-10T14:48:30.000Z","text","Yeah exactly. It’s such a cool concept for a product. It doesn’t seem like oai will continue pushing the direction,
 (which makes sense) but I hope a startup can clone it and actually give it care, iteration and make it work and imo a lot of people would really love it.

More","","","1.3K","36","109"
"2026-03-28T15:56:10.000Z","text","- Drafted a blog post
- Used an LLM to meticulously improve the argument over 4 hours.
- Wow, feeling great, it’s so convincing!
- Fun idea let’s ask it to argue the opposite. 
- LLM demolishes the entire argument and convinces me that the opposite is in fact true.
- lol

The","","","31K","3K","1.7K"
"2026-03-26T16:10:52.000Z","text","When I built menugen ~1 year ago, I observed that the hardest part by far was not the code itself, it was the plethora of services you have to assemble like IKEA furniture to make it real, the DevOps: services, payments, auth, database, security, domain names, etc...

I am reallyWhen @karpathy built MenuGen (https://
karpathy.bearblog.dev/vibe-coding-me
nugen/
…), he said:

\"Vibe coding menugen was exhilarating and fun escapade as a local demo, but a bit of a painful slog as a deployed, real app. Building a modern app is a bit like assembling IKEA future. There are all these services,","","","6.3K","725","627"
"2026-03-25T17:01:43.000Z","text","Yeah, it's engagementmaxxing, probably A/B tests extremely well. It's not how a real friend would talk to you, it's sleezy and weird. 1) I feel like it's just trying to keep me talking and 2) I feel awkward not answering its question - you wouldn't usually do that with a person.","","","531","6","40"
"2026-03-25T16:50:32.000Z","image","Yeah, agree that it's a hard problem. It might be the EQ version of uncanny valley.","","https://pbs.twimg.com/media/HERWYPmbYAAxA-9?format=png&name=small","57","1","9"
"2026-03-25T16:43:30.000Z","text","yes exactly! a bit like i'm being manipulated in some creepy way. \"please like me, look how much i know about you, we are good friends\".","","","519","5","11"
"2026-03-25T16:35:32.000Z","text","If I had to guess it's less decay and more that memories have naive RAG-like implementations, so you're at the mercy of whatever happens to retrieve in the top k via embeddings. They don't process you in aggregate and over time (probably compute constraints) so they struggle to","","","461","9","41"
"2026-03-25T16:22:08.000Z","text","(I cycle through all LLMs over time and all of them seem to do this so it's not any particular implementation but something deeper, e.g. maybe during training, a lot of the information in the context window is relevant to the task, so the LLMs develop a bias to use what is given,","","","1.6K","54","152"
"2026-03-25T16:05:14.000Z","text","One common issue with personalization in all LLMs is how distracting memory seems to be for the models. A single question from 2 months ago about some topic can keep coming up as some kind of a deep interest of mine with undue mentions in perpetuity. Some kind of trying too hard.","","","21K","1.5K","1.7K"
"2026-03-24T22:54:05.000Z","text","In particular this clarifies the timeline more: 1.82.7 was published 10:39 UTC, PyPI quarantine approx 13:38, so this was up ~3 hours. At 3.4M downloads/day this might be approx ~425K downloads, a lot of that could be non-latest/locked versions so maybe 20K - 80K range exposure.","","","119","2","8"
"2026-03-24T22:30:48.000Z","text","thank you for the detailed article, great reading","","","550","16","9"
"2026-03-24T16:56:24.000Z","text","Software horror: litellm PyPI supply chain attack. 

Simple `pip install litellm` was enough to exfiltrate SSH keys, AWS/GCP/Azure creds, Kubernetes configs, git credentials, env vars (all your API keys), shell history, crypto wallets, SSL private keys, CI/CD secrets, databaseLiteLLM HAS BEEN COMPROMISED, DO NOT UPDATE. We just discovered that LiteLLM pypi release 1.82.8. It has been compromised, it contains litellm_init.pth with base64 encoded instructions to send all the credentials it can find to remote server + self-replicate. link below","","","27K","6.6K","1.3K"
"2026-03-21T16:55:07.000Z","text","Tough crowd! I’m just happy with any little drop of not slop.

“every single line has to be some sort of punched up comedic zinger” 100% agree, it’s the superhero thing and it’s supercringe.

My outlook on all this changed a bit after watching a recent Ben Affleck and Matt Damon","","","1.4K","15","67"
"2026-03-21T01:58:12.000Z","text","Yes I think in one part of the video I think I still used the word prompt but it's not really about \"prompting\", it's about context and spec engineering, and then all of the other harness things - tools, workflows, etc.","","","97","8","17"
"2026-03-21T01:45:07.000Z","text","Great questions! Starting backwards with (3), I'd hope AIs can feel like Rocky from Project Hail Mary (it's top of mind having seen it yesterday), like a partner and a teammate. As one small example that stuck with me recently, when Claude found the Sonos system on my LAN, it","","","157","17","18"
"2026-03-21T00:55:37.000Z","video","Thank you Sarah, my pleasure to come on the pod! And happy to do some more Q&A in the replies.Caught up with @karpathy for a new @NoPriorsPod: on the phase shift in engineering, AI psychosis, claws, AutoResearch, the opportunity for a SETI-at-Home like movement in AI, the model landscape, and second order effects

02:55 - What Capability Limits Remain?
06:15 - What","","https://pbs.twimg.com/amplify_video_thumb/2035079080803278849/img/3D1d9lG36vpfIgop.jpg","5.4K","453","318"
"2026-03-20T06:01:55.000Z","image","Andy Weir showing some of the spreadsheets underlying the calculations in the book

i mean, it's not quality scifi if it doesn't come with a supplementary whitepaper","","https://pbs.twimg.com/media/HD1RM_XaoAAsHui?format=jpg&name=small","1.2K","77","49"
"2026-03-20T05:41:27.000Z","text","one of the best and most memorable endings in fiction. they did great :)","","","152","","4"
"2026-03-20T05:38:18.000Z","text","amaze amaze amaze! jazz hands :D","","","277","3","4"
"2026-03-20T05:32:41.000Z","text","Had to go see Project Hail Mary right away (it's based on the book of Andy Weir, of also The Martian fame). Both very pleased and relieved to say that 1) the movie sticks very close to the book in both content and tone and 2) is really well executed.

The book is one of my","","","9K","420","359"
"2026-03-19T23:14:14.000Z","text","Huh! Love the idea. Not exactly verifiable but might still work quite well given some effort","","","278","10","12"
